,Average and Extremes,Average temperature,Average humidity,Average dewpoint,Average barometer,Average windspeed,Average gustspeed,Average direction,Rainfall for month,Rainfall for year,Maximum rain per minute,Maximum temperature,Minimum temperature,Maximum humidity,Minimum humidity,Maximum pressure,Minimum pressure,Maximum windspeed,Maximum gust speed,Maximum heat index
0,Jan 1 ,28.5,83.0,23.9,29.7,3.0,5.0, 76° (ENE), 0.09 in., 0.37 in., 0.01 in. on day 01 at time 12:49, 36.1°F on day 01 at time 12:51, 23.5°F on day 01 at time 22:31, 94% on day 01 at time 00:00, 64% on day 01 at time 12:41, 29.747 in. on day 01 at time 20:01, 29.612 in. on day 01 at time 01:09, 12.7 mph on day 01 at time 14:58, 16.1 mph  from 029 °(NNE) on day 01 at time 14:08, 36.1°F on day 01 at time 12:51
1,Jan 2 ,20.4,92.0,18.5,29.7,2.1,3.4, 68° (ENE), 0.09 in., 0.37 in., 0.00 in. on day 02 at time 23:59, 23.8°F on day 02 at time 01:35, 17.3°F on day 02 at time 23:56, 94% on day 02 at time 01:04, 90% on day 02 at time 23:59, 29.806 in. on day 02 at time 23:57, 29.654 in. on day 02 at time 08:24, 5.8 mph on day 02 at time 23:31, 10.4 mph  from 081 °( E ) on day 02 at time 23:42, 23.8°F on day 02 at time 01:35
2,Jan 3 ,21.8,68.0,12.1,29.8,6.1,9.2, 267° ( W ), 0.15 in., 0.43 in., 0.01 in. on day 03 at time 11:51, 31.2°F on day 03 at time 11:44, 11.3°F on day 03 at time 07:53, 91% on day 03 at time 08:08, 48% on day 03 at time 23:57, 29.871 in. on day 03 at time 23:49, 29.772 in. on day 03 at time 11:15, 18.4 mph on day 03 at time 20:23, 28.8 mph  from 267 °( W ) on day 03 at time 20:22, 31.2°F on day 03 at time 11:44
3,Jan 4 ,23.1,46.0,5.4,30.0,16.0,23.5, 258° (WSW), 0.15 in., 0.43 in., 0.00 in. on day 04 at time 23:59, 27.2°F on day 04 at time 14:06, 19.8°F on day 04 at time 07:34, 53% on day 04 at time 11:47, 34% on day 04 at time 14:18, 30.175 in. on day 04 at time 23:14, 29.831 in. on day 04 at time 06:30, 28.8 mph on day 04 at time 11:48, 41.4 mph  from 172 °( S ) on day 04 at time 15:50, 27.2°F on day 04 at time 14:06
4,Jan 5 ,33.3,39.0,10.7,30.0,10.7,15.0, 248° (WSW), 0.15 in., 0.43 in., 0.00 in. on day 05 at time 23:59, 41.4°F on day 05 at time 13:42, 19.5°F on day 05 at time 05:55, 57% on day 05 at time 09:29, 27% on day 05 at time 23:00, 30.163 in. on day 05 at time 00:03, 29.830 in. on day 05 at time 22:43, 21.9 mph on day 05 at time 19:28, 31.1 mph  from 267 °( W ) on day 05 at time 20:49, 41.4°F on day 05 at time 13:42
5,Jan 6 ,34.2,50.0,17.4,29.8,6.2,9.2, 249° (WSW), 0.15 in., 0.43 in., 0.00 in. on day 06 at time 23:59, 38.8°F on day 06 at time 13:21, 29.0°F on day 06 at time 05:28, 65% on day 06 at time 16:15, 29% on day 06 at time 00:27, 30.028 in. on day 06 at time 23:47, 29.740 in. on day 06 at time 07:00, 19.6 mph on day 05 at time 00:44, 27.6 mph  from 225 °( SW) on day 06 at time 01:12, 38.8°F on day 06 at time 13:21
6,Jan 7 ,32.3,46.0,13.9,30.1,9.1,13.5, 251° (WSW), 0.15 in., 0.43 in., 0.00 in. on day 07 at time 23:59, 37.3°F on day 07 at time 12:42, 29.9°F on day 07 at time 07:55, 56% on day 07 at time 04:44, 32% on day 07 at time 23:23, 30.150 in. on day 07 at time 19:15, 30.025 in. on day 07 at time 00:17, 19.6 mph on day 07 at time 15:44, 31.1 mph  from 248 °(WSW) on day 07 at time 15:44, 37.3°F on day 07 at time 12:42
7,Jan 8 ,35.4,31.0,7.3,30.0,11.4,16.0, 254° (WSW), 0.15 in., 0.43 in., 0.00 in. on day 08 at time 23:59, 42.2°F on day 08 at time 14:35, 28.2°F on day 08 at time 04:22, 43% on day 08 at time 23:57, 21% on day 08 at time 03:12, 30.130 in. on day 08 at time 00:01, 29.896 in. on day 08 at time 20:48, 25.3 mph on day 08 at time 20:55, 34.5 mph  from 243 °(WSW) on day 08 at time 17:03, 42.2°F on day 08 at time 14:35
8,Jan 9 ,36.0,47.0,17.8,29.8,14.7,21.3, 257° (WSW), 0.15 in., 0.43 in., 0.00 in. on day 09 at time 23:59, 40.8°F on day 09 at time 13:56, 27.4°F on day 09 at time 03:39, 57% on day 09 at time 03:42, 36% on day 09 at time 12:15, 29.974 in. on day 09 at time 05:51, 29.711 in. on day 09 at time 21:04, 32.2 mph on day 09 at time 10:55, 43.7 mph  from 225 °( SW) on day 09 at time 18:30, 40.8°F on day 09 at time 13:56
9,Jan 10 ,38.1,60.0,25.3,29.6,13.6,19.7, 260° ( W ), 0.15 in., 0.43 in., 0.00 in. on day 10 at time 23:59, 42.9°F on day 10 at time 10:43, 34.3°F on day 10 at time 23:59, 81% on day 10 at time 15:28, 46% on day 10 at time 20:09, 29.730 in. on day 10 at time 00:01, 29.505 in. on day 10 at time 19:45, 25.3 mph on day 10 at time 10:03, 39.1 mph  from 281 °( W ) on day 10 at time 10:03, 42.9°F on day 10 at time 10:43
10,Jan 11 ,30.3,65.0,19.3,29.7,7.2,10.6, 220° ( SW), 0.17 in., 0.45 in., 0.01 in. on day 11 at time 11:45, 34.2°F on day 11 at time 13:24, 26.8°F on day 11 at time 07:39, 93% on day 11 at time 07:46, 46% on day 11 at time 23:05, 30.137 in. on day 11 at time 23:43, 29.524 in. on day 11 at time 04:41, 20.7 mph on day 11 at time 14:05, 31.1 mph  from 258 °(WSW) on day 11 at time 14:07, 34.2°F on day 11 at time 13:24
11,Jan 12 ,32.5,42.0,11.3,30.3,8.8,13.1, 252° (WSW), 0.17 in., 0.45 in., 0.00 in. on day 12 at time 23:59, 40.4°F on day 12 at time 15:25, 25.6°F on day 12 at time 03:17, 55% on day 12 at time 03:16, 25% on day 12 at time 13:19, 30.330 in. on day 12 at time 09:02, 30.122 in. on day 12 at time 00:07, 19.6 mph on day 12 at time 11:34, 28.8 mph  from 251 °(WSW) on day 12 at time 12:26, 40.4°F on day 12 at time 15:25
12,Jan 13 ,42.9,41.0,20.5,30.1,9.4,13.7, 215° ( SW), 0.17 in., 0.45 in., 0.00 in. on day 13 at time 23:59, 51.1°F on day 13 at time 14:13, 34.4°F on day 13 at time 03:10, 53% on day 13 at time 03:18, 32% on day 13 at time 23:10, 30.259 in. on day 13 at time 00:00, 29.797 in. on day 13 at time 23:59, 19.6 mph on day 13 at time 15:50, 27.6 mph  from 146 °( SE) on day 13 at time 16:01, 51.1°F on day 13 at time 14:13
13,Jan 14 ,42.9,38.0,18.7,29.6,11.7,17.4, 224° ( SW), 0.17 in., 0.45 in., 0.00 in. on day 14 at time 23:59, 46.4°F on day 14 at time 14:02, 37.5°F on day 14 at time 20:45, 55% on day 14 at time 20:40, 29% on day 14 at time 02:38, 29.797 in. on day 14 at time 00:04, 29.429 in. on day 14 at time 23:59, 24.2 mph on day 14 at time 10:45, 36.8 mph  from 245 °(WSW) on day 14 at time 05:18, 46.4°F on day 14 at time 14:02
14,Jan 15 ,31.1,70.0,21.8,29.3,2.8,4.4, 157° (SSE), 0.18 in., 0.46 in., 0.01 in. on day 15 at time 15:19, 40.5°F on day 15 at time 12:42, 24.9°F on day 15 at time 21:51, 93% on day 15 at time 21:35, 42% on day 15 at time 01:35, 29.426 in. on day 15 at time 00:00, 29.250 in. on day 15 at time 13:16, 17.3 mph on day 14 at time 00:21, 27.6 mph  from 146 °( SE) on day 15 at time 22:27, 40.5°F on day 15 at time 12:42
15,Jan 16 ,30.7,51.0,14.2,29.5,9.9,14.9, 192° (SSW), 0.18 in., 0.46 in., 0.00 in. on day 16 at time 23:59, 37.0°F on day 16 at time 14:23, 20.3°F on day 16 at time 23:59, 73% on day 16 at time 23:59, 38% on day 16 at time 13:07, 29.583 in. on day 16 at time 22:37, 29.353 in. on day 16 at time 00:58, 25.3 mph on day 16 at time 07:54, 39.1 mph  from 146 °( SE) on day 16 at time 07:59, 37.0°F on day 16 at time 14:23
16,Jan 17 ,22.6,78.0,16.5,29.6,2.8,4.5, 57° (ENE), 0.18 in., 0.46 in., 0.00 in. on day 17 at time 23:59, 37.3°F on day 17 at time 13:21, 12.7°F on day 17 at time 07:01, 90% on day 17 at time 23:59, 48% on day 17 at time 13:41, 29.676 in. on day 17 at time 10:48, 29.553 in. on day 17 at time 00:24, 10.4 mph on day 17 at time 20:22, 16.1 mph  from 078 °(ENE) on day 17 at time 15:39, 37.3°F on day 17 at time 13:21
17,Jan 18 ,20.7,75.0,13.7,29.8,3.6,5.7, 290° (WNW), 0.19 in., 0.47 in., 0.01 in. on day 18 at time 13:09, 25.8°F on day 18 at time 13:11, 16.2°F on day 18 at time 07:57, 90% on day 18 at time 08:48, 47% on day 18 at time 23:47, 29.914 in. on day 18 at time 23:44, 29.615 in. on day 18 at time 01:34, 20.7 mph on day 18 at time 20:39, 31.1 mph  from 272 °( W ) on day 18 at time 20:39, 25.8°F on day 18 at time 13:11
18,Jan 19 ,22.9,45.0,4.1,30.0,9.7,13.8, 261° ( W ), 0.19 in., 0.47 in., 0.00 in. on day 19 at time 23:59, 31.1°F on day 19 at time 15:46, 14.8°F on day 19 at time 23:50, 69% on day 19 at time 23:58, 24% on day 19 at time 15:34, 30.103 in. on day 19 at time 23:16, 29.874 in. on day 19 at time 03:32, 25.3 mph on day 18 at time 00:07, 40.3 mph  from 264 °( W ) on day 19 at time 00:07, 31.1°F on day 19 at time 15:46
19,Jan 20 ,14.4,73.0,7.3,30.2,0.7,1.4, 31° (NNE), 0.19 in., 0.47 in., 0.00 in. on day 20 at time 23:59, 24.5°F on day 20 at time 14:21, 5.0°F on day 20 at time 23:59, 85% on day 20 at time 23:59, 59% on day 20 at time 13:40, 30.284 in. on day 20 at time 09:17, 30.086 in. on day 20 at time 00:55, 5.8 mph on day 20 at time 13:58, 11.5 mph  from 023 °(NNE) on day 20 at time 12:48, 24.5°F on day 20 at time 14:21
20,Jan 21 ,13.7,70.0,5.1,30.2,2.5,4.3, 299° (WNW), 0.19 in., 0.47 in., 0.00 in. on day 21 at time 23:59, 24.9°F on day 21 at time 15:59, 1.6°F on day 21 at time 05:04, 87% on day 21 at time 05:15, 48% on day 21 at time 23:59, 30.327 in. on day 21 at time 07:31, 30.107 in. on day 21 at time 23:54, 12.7 mph on day 21 at time 17:33, 21.9 mph  from 281 °( W ) on day 21 at time 15:42, 24.9°F on day 21 at time 15:59
21,Jan 22 ,22.1,62.0,10.9,29.9,1.9,3.5, 139° ( SE), 0.20 in., 0.48 in., 0.01 in. on day 22 at time 11:15, 32.1°F on day 22 at time 12:44, 7.9°F on day 22 at time 07:43, 79% on day 22 at time 19:35, 45% on day 22 at time 11:15, 30.112 in. on day 22 at time 00:00, 29.827 in. on day 22 at time 13:12, 10.4 mph on day 22 at time 02:51, 18.4 mph  from 263 °( W ) on day 22 at time 02:25, 32.1°F on day 22 at time 12:44
22,Jan 23 ,20.2,82.0,15.5,30.1,1.4,2.7, 96° ( E ), 0.23 in., 0.51 in., 0.01 in. on day 23 at time 13:10, 27.2°F on day 23 at time 13:41, 8.2°F on day 23 at time 23:59, 91% on day 23 at time 19:40, 70% on day 23 at time 13:45, 30.166 in. on day 23 at time 09:16, 30.006 in. on day 23 at time 21:21, 8.1 mph on day 23 at time 16:25, 13.8 mph  from 088 °( E ) on day 23 at time 15:51, 27.2°F on day 23 at time 13:41
23,Jan 24 ,19.9,63.0,8.7,30.1,3.8,6.3, 140° ( SE), 0.23 in., 0.51 in., 0.00 in. on day 24 at time 23:59, 31.5°F on day 24 at time 14:46, 7.9°F on day 24 at time 00:18, 92% on day 24 at time 01:45, 34% on day 24 at time 16:17, 30.131 in. on day 24 at time 21:32, 29.947 in. on day 24 at time 00:45, 12.7 mph on day 24 at time 23:32, 23.0 mph  from 267 °( W ) on day 24 at time 23:32, 31.5°F on day 24 at time 14:46
24,Jan 25 ,17.6,48.0,1.0,30.2,4.6,7.8, 263° ( W ), 0.23 in., 0.51 in., 0.00 in. on day 25 at time 23:59, 24.1°F on day 25 at time 13:36, 14.4°F on day 25 at time 05:48, 60% on day 25 at time 17:59, 37% on day 25 at time 15:07, 30.345 in. on day 25 at time 22:56, 30.076 in. on day 25 at time 04:52, 13.8 mph on day 25 at time 11:56, 19.6 mph  from 247 °(WSW) on day 25 at time 18:54, 24.1°F on day 25 at time 13:36
25,Jan 26 ,20.8,44.0,2.0,30.2,13.4,19.6, 252° (WSW), 0.24 in., 0.52 in., 0.01 in. on day 26 at time 08:40, 27.0°F on day 26 at time 12:37, 14.5°F on day 26 at time 06:23, 51% on day 26 at time 18:20, 32% on day 26 at time 12:51, 30.332 in. on day 26 at time 02:07, 30.057 in. on day 26 at time 23:41, 26.5 mph on day 26 at time 15:18, 39.1 mph  from 232 °( SW) on day 26 at time 13:10, 27.0°F on day 26 at time 12:37
26,Jan 27 ,26.8,55.0,12.6,29.8,13.6,19.9, 254° (WSW), 0.24 in., 0.52 in., 0.00 in. on day 27 at time 23:59, 33.2°F on day 27 at time 11:05, 23.7°F on day 27 at time 02:09, 81% on day 27 at time 20:58, 43% on day 27 at time 00:27, 30.063 in. on day 27 at time 00:24, 29.687 in. on day 27 at time 15:26, 26.5 mph on day 27 at time 12:00, 40.3 mph  from 253 °(WSW) on day 27 at time 04:34, 33.2°F on day 27 at time 11:05
27,Jan 28 ,21.0,69.0,11.9,29.8,6.8,10.5, 286° (WNW), 0.24 in., 0.52 in., 0.00 in. on day 28 at time 23:59, 32.5°F on day 28 at time 11:44, 3.1°F on day 28 at time 23:59, 89% on day 28 at time 18:32, 50% on day 28 at time 05:46, 29.963 in. on day 28 at time 21:21, 29.604 in. on day 28 at time 01:08, 23.0 mph on day 27 at time 00:41, 33.4 mph  from 259 °( W ) on day 28 at time 00:40, 32.5°F on day 28 at time 11:44
28,Jan 29 ,-0.8,80.0,-5.4,30.1,3.6,5.5, 52° ( NE), 0.24 in., 0.52 in., 0.00 in. on day 29 at time 23:59, 7.2°F on day 29 at time 11:50, -9.5°F on day 29 at time 23:55, 84% on day 29 at time 03:29, 77% on day 29 at time 13:29, 30.396 in. on day 29 at time 22:58, 29.845 in. on day 29 at time 02:05, 10.4 mph on day 29 at time 15:39, 15.0 mph  from 034 °( NE) on day 29 at time 13:18, 7.2°F on day 29 at time 11:50
29,Jan 30 ,-0.1,82.0,-4.3,30.4,1.3,2.2, 48° ( NE), 0.24 in., 0.52 in., 0.00 in. on day 30 at time 23:59, 9.5°F on day 30 at time 14:12, -9.4°F on day 30 at time 00:05, 85% on day 30 at time 14:07, 79% on day 30 at time 03:09, 30.461 in. on day 30 at time 19:58, 30.335 in. on day 30 at time 01:26, 5.8 mph on day 30 at time 17:34, 8.1 mph  from 084 °( E ) on day 30 at time 17:25, 9.5°F on day 30 at time 14:12
30,Jan 31 ,16.6,42.0,-3.5,30.3,12.2,16.8, 258° (WSW), 0.28 in., 0.56 in., 0.01 in. on day 31 at time 12:19, 26.0°F on day 31 at time 13:02, -2.3°F on day 31 at time 00:15, 82% on day 31 at time 00:16, 24% on day 31 at time 12:04, 30.451 in. on day 31 at time 00:00, 30.188 in. on day 31 at time 21:23, 21.9 mph on day 31 at time 19:38, 33.4 mph  from 251 °(WSW) on day 31 at time 20:36, 26.0°F on day 31 at time 13:02
31, for Month of January 2023 up to day 31,24.9,59.0,11.4,29.931,7.2,10.8, 251° (WSW), 0.276 in., 0.276 in., 0.010 in on day 31 at time 12:19, 51.1°F on day 13 at time 14:13, -9.5°F on day 29 at time 23:55, 94% on day 02 at time 01:04, 21% on day 08 at time 03:12, 30.46 in. on day 30 at time 19:58, 29.25 in. on day 15 at time 13:16, 32.2 mph from 225°( SW) on day 09 at time 10:55, 43.7 mph from 248°(WSW) on day 09 at time 18:30, 51.1°F on day 13 at time 14:13
